,id,период,минут,вероятность,прибыль,выручка,покупательская_активность,тип_сервиса,разрешить_сообщать,маркет_актив_6_мес,маркет_актив_тек_мес,длительность,акционные_покупки,популярная_категория,средний_просмотр_категорий_за_визит,неоплаченные_продукты_штук_квартал,ошибка_сервиса,страниц_за_визит
24,215356,предыдущий_месяц,6,0.83,4.93,4146.5,Снизилась,стандарт,да,4.2,4,192,0.14,Косметика и аксессуары,2,2,1,3
25,215356,текущий_месяц,7,0.83,4.93,4566.4,Снизилась,стандарт,да,4.2,4,192,0.14,Косметика и аксессуары,2,2,1,3
26,215357,предыдущий_месяц,12,,4.66,0.0,Снизилась,стандарт,да,3.9,5,154,0.0,Техника для красоты и здоровья,3,3,9,5
27,215357,текущий_месяц,6,,4.66,5986.3,Снизилась,стандарт,да,3.9,5,154,0.0,Техника для красоты и здоровья,3,3,9,5
28,215358,предыдущий_месяц,14,0.0,3.06,4727.0,Снизилась,стандарт,да,4.7,4,450,0.13,Домашний текстиль,4,2,6,4
29,215358,предыдущий_месяц,14,0.0,3.06,3488.0,Снизилась,стандарт,да,4.7,4,450,0.13,Домашний текстиль,4,2,6,4
30,215358,текущий_месяц,10,0.0,3.06,4209.5,Снизилась,стандарт,да,4.7,4,450,0.13,Домашний текстиль,4,2,6,4
31,215359,предыдущий_месяц,13,,5.08,0.0,Снизилась,стандарт,да,4.6,5,110,0.0,Домашний текстиль,4,2,4,2
32,215359,текущий_месяц,11,,5.08,4735.0,Снизилась,стандарт,да,4.6,5,110,0.0,Домашний текстиль,4,2,4,2
33,215360,текущий_месяц,6,1.0,4.55,5834.9,Снизилась,премиум,да,3.9,3,623,0.35,Кухонная посуда,3,1,4,7
34,215360,предыдущий_месяц,9,1.0,4.55,5304.5,Снизилась,премиум,да,3.9,3,623,0.35,Кухонная посуда,3,1,4,7
35,215360,предыдущий_месяц,9,1.0,4.55,5555.0,Снизилась,премиум,да,3.9,3,623,0.35,Кухонная посуда,3,1,4,7
36,215361,текущий_месяц,13,0.12,4.03,3789.7,Снизилась,стандарт,да,5.1,4,199,0.23,Техника для красоты и здоровья,4,5,2,3
37,215361,предыдущий_месяц,11,0.12,4.03,6400.0,Снизилась,стандарт,да,5.1,4,199,0.23,Техника для красоты и здоровья,4,5,2,3
38,215361,предыдущий_месяц,11,0.12,4.03,4597.0,Снизилась,стандарт,да,5.1,4,199,0.23,Техника для красоты и здоровья,4,5,2,3
39,215362,текущий_месяц,13,0.97,3.49,4447.9,Снизилась,премиум,да,4.2,4,438,0.74,Домашний текстиль,3,4,6,4
40,215362,предыдущий_месяц,13,0.97,3.49,4314.0,Снизилась,премиум,да,4.2,4,438,0.74,Домашний текстиль,3,4,6,4
41,215362,предыдущий_месяц,13,0.97,3.49,4765.0,Снизилась,премиум,да,4.2,4,438,0.74,Домашний текстиль,3,4,6,4
42,215363,предыдущий_месяц,8,0.9,1.83,6010.0,Снизилась,стандарт,нет,4.9,4,923,0.29,Товары для детей,6,0,3,1
43,215363,предыдущий_месяц,8,0.9,1.83,4633.0,Снизилась,стандарт,нет,4.9,4,923,0.29,Товары для детей,6,0,3,1
44,215363,текущий_месяц,5,0.9,1.83,6128.3,Снизилась,стандарт,нет,4.9,4,923,0.29,Товары для детей,6,0,3,1
45,215364,текущий_месяц,9,1.0,2.67,5484.8,Снизилась,премиум,да,4.3,4,708,0.98,Домашний текстиль,3,3,3,3
46,215364,предыдущий_месяц,11,1.0,2.67,4942.0,Снизилась,премиум,да,4.3,4,708,0.98,Домашний текстиль,3,3,3,3
47,215364,предыдущий_месяц,11,1.0,2.67,5795.5,Снизилась,премиум,да,4.3,4,708,0.98,Домашний текстиль,3,3,3,3
48,215365,текущий_месяц,10,0.9,3.65,4799.3,Снизилась,стандарт,да,3.9,4,167,0.95,Техника для красоты и здоровья,6,4,2,5
49,215365,предыдущий_месяц,6,0.9,3.65,4190.0,Снизилась,стандарт,да,3.9,4,167,0.95,Техника для красоты и здоровья,6,4,2,5
50,215365,предыдущий_месяц,6,0.9,3.65,4577.0,Снизилась,стандарт,да,3.9,4,167,0.95,Техника для красоты и здоровья,6,4,2,5
51,215366,текущий_месяц,14,0.12,2.95,5338.4,Снизилась,стандарт,нет,3.8,3,209,0.22,Товары для детей,5,3,7,7
52,215366,предыдущий_месяц,8,0.12,2.95,4335.0,Снизилась,стандарт,нет,3.8,3,209,0.22,Товары для детей,5,3,7,7
53,215366,предыдущий_месяц,8,0.12,2.95,5035.5,Снизилась,стандарт,нет,3.8,3,209,0.22,Товары для детей,5,3,7,7
54,215367,текущий_месяц,7,1.0,3.03,5493.4,Снизилась,премиум,да,4.2,4,581,0.4,Товары для детей,5,1,4,1
55,215367,предыдущий_месяц,8,1.0,3.03,4668.0,Снизилась,премиум,да,4.2,4,581,0.4,Товары для детей,5,1,4,1
56,215367,предыдущий_месяц,8,1.0,3.03,5164.5,Снизилась,премиум,да,4.2,4,581,0.4,Товары для детей,5,1,4,1
57,215368,текущий_месяц,9,1.0,6.27,5591.6,Снизилась,премиум,да,3.8,5,829,0.24,Техника для красоты и здоровья,2,2,6,1
58,215368,предыдущий_месяц,11,1.0,6.27,4536.0,Снизилась,премиум,да,3.8,5,829,0.24,Техника для красоты и здоровья,2,2,6,1
59,215368,предыдущий_месяц,11,1.0,6.27,5823.0,Снизилась,премиум,да,3.8,5,829,0.24,Техника для красоты и здоровья,2,2,6,1
60,215369,предыдущий_месяц,8,0.9,3.86,3593.0,Снизилась,стандарт,нет,2.7,4,607,0.21,Товары для детей,2,2,3,4
61,215369,предыдущий_месяц,8,0.9,3.86,4931.0,Снизилась,стандарт,нет,2.7,4,607,0.21,Товары для детей,2,2,3,4
62,215369,текущий_месяц,9,0.9,3.86,3842.6,Снизилась,стандарт,нет,2.7,4,607,0.21,Товары для детей,2,2,3,4
63,215370,текущий_месяц,10,0.9,2.82,4840.3,Снизилась,стандарт,да,3.9,4,572,0.4,Домашний текстиль,2,0,5,5
64,215370,предыдущий_месяц,7,0.9,2.82,4535.0,Снизилась,стандарт,да,3.9,4,572,0.4,Домашний текстиль,2,0,5,5
65,215370,предыдущий_месяц,7,0.9,2.82,5235.5,Снизилась,стандарт,да,3.9,4,572,0.4,Домашний текстиль,2,0,5,5
66,215371,предыдущий_месяц,10,0.9,1.4,4742.0,Снизилась,стандарт,да,3.8,4,365,0.21,Домашний текстиль,5,0,6,1
67,215371,предыдущий_месяц,10,0.9,1.4,6809.0,Снизилась,стандарт,да,3.8,4,365,0.21,Домашний текстиль,5,0,6,1
68,215371,текущий_месяц,10,0.9,1.4,6937.7,Снизилась,стандарт,да,3.8,4,365,0.21,Домашний текстиль,5,0,6,1
69,215372,текущий_месяц,9,0.62,1.63,4092.2,Снизилась,стандарт,нет,4.8,4,566,0.39,Косметика и аксессуары,2,1,4,5
70,215372,предыдущий_месяц,9,0.62,1.63,4762.0,Снизилась,стандарт,нет,4.8,4,566,0.39,Косметика и аксессуары,2,1,4,5
71,215372,предыдущий_месяц,9,0.62,1.63,3866.0,Снизилась,стандарт,нет,4.8,4,566,0.39,Косметика и аксессуары,2,1,4,5
72,215373,текущий_месяц,8,1.0,3.69,5161.1,Снизилась,премиум,нет,3.8,3,811,0.9,Товары для детей,2,5,5,3
73,215373,предыдущий_месяц,10,1.0,3.69,4293.0,Снизилась,премиум,нет,3.8,3,811,0.9,Товары для детей,2,5,5,3
74,215373,предыдущий_месяц,10,1.0,3.69,4632.0,Снизилась,премиум,нет,3.8,3,811,0.9,Товары для детей,2,5,5,3
75,215374,текущий_месяц,8,0.9,4.08,5720.9,Снизилась,стандарт,нет,2.9,5,268,0.98,Домашний текстиль,6,3,2,2
76,215374,предыдущий_месяц,11,0.9,4.08,4666.0,Снизилась,стандарт,нет,2.9,5,268,0.98,Домашний текстиль,6,3,2,2
77,215374,предыдущий_месяц,11,0.9,4.08,5762.5,Снизилась,стандарт,нет,2.9,5,268,0.98,Домашний текстиль,6,3,2,2
78,215375,предыдущий_месяц,8,1.0,4.18,5253.5,Снизилась,премиум,да,3.0,4,558,0.89,Товары для детей,3,3,7,4
79,215375,предыдущий_месяц,8,1.0,4.18,4715.0,Снизилась,премиум,да,3.0,4,558,0.89,Товары для детей,3,3,7,4
80,215375,текущий_месяц,9,1.0,4.18,5633.1,Снизилась,премиум,да,3.0,4,558,0.89,Товары для детей,3,3,7,4
81,215376,предыдущий_месяц,8,0.9,4.26,6061.0,Снизилась,стандарт,да,2.4,3,534,0.98,Домашний текстиль,4,1,5,4
82,215376,предыдущий_месяц,8,0.9,4.26,4723.0,Снизилась,стандарт,да,2.4,3,534,0.98,Домашний текстиль,4,1,5,4
83,215376,текущий_месяц,9,0.9,4.26,6209.2,Снизилась,стандарт,да,2.4,3,534,0.98,Домашний текстиль,4,1,5,4
84,215377,текущий_месяц,7,0.62,4.27,5872.6,Снизилась,стандарт,да,4.6,4,730,0.27,Товары для детей,2,5,8,5
85,215377,предыдущий_месяц,8,0.62,4.27,5096.5,Снизилась,стандарт,да,4.6,4,730,0.27,Товары для детей,2,5,8,5
86,215377,предыдущий_месяц,8,0.62,4.27,4273.0,Снизилась,стандарт,да,4.6,4,730,0.27,Товары для детей,2,5,8,5
87,215378,предыдущий_месяц,12,0.9,3.03,3543.0,Снизилась,стандарт,да,1.7,3,488,0.39,Техника для красоты и здоровья,5,1,4,3
88,215378,предыдущий_месяц,12,0.9,3.03,4302.0,Снизилась,стандарт,да,1.7,3,488,0.39,Техника для красоты и здоровья,5,1,4,3
89,215378,текущий_месяц,8,0.9,3.03,4364.6,Снизилась,стандарт,да,1.7,3,488,0.39,Техника для красоты и здоровья,5,1,4,3
90,215379,предыдущий_месяц,10,0.97,4.42,4300.0,Снизилась,стандарт,нет,3.4,4,436,0.98,Товары для детей,3,0,3,5
91,215379,предыдущий_месяц,10,0.97,4.42,4360.0,Снизилась,стандарт,нет,3.4,4,436,0.98,Товары для детей,3,0,3,5
92,215379,текущий_месяц,15,0.97,4.42,4394.9,Снизилась,стандарт,нет,3.4,4,436,0.98,Товары для детей,3,0,3,5
93,215380,предыдущий_месяц,12,0.12,3.88,5051.0,Снизилась,премиум,нет,1.7,4,637,0.94,Техника для красоты и здоровья,3,2,4,7
94,215380,предыдущий_месяц,12,0.12,3.88,6077.0,Снизилась,премиум,нет,1.7,4,637,0.94,Техника для красоты и здоровья,3,2,4,7
95,215380,текущий_месяц,14,0.12,3.88,106862.2,Снизилась,премиум,нет,1.7,4,637,0.94,Техника для красоты и здоровья,3,2,4,7
96,215381,текущий_месяц,9,0.9,3.62,5783.4,Снизилась,стандарт,да,3.6,5,554,0.33,Домашний текстиль,6,1,6,5
97,215381,предыдущий_месяц,9,0.9,3.62,4503.0,Снизилась,стандарт,да,3.6,5,554,0.33,Домашний текстиль,6,1,6,5
98,215381,предыдущий_месяц,9,0.9,3.62,5467.5,Снизилась,стандарт,да,3.6,5,554,0.33,Домашний текстиль,6,1,6,5
99,215382,предыдущий_месяц,15,0.62,2.42,4824.0,Снизилась,стандарт,да,4.6,4,330,0.89,Техника для красоты и здоровья,6,2,7,6
100,215382,предыдущий_месяц,15,0.62,2.42,5545.5,Снизилась,стандарт,да,4.6,4,330,0.89,Техника для красоты и здоровья,6,2,7,6
101,215382,текущий_месяц,8,0.62,2.42,6403.5,Снизилась,стандарт,да,4.6,4,330,0.89,Техника для красоты и здоровья,6,2,7,6
102,215383,предыдущий_месяц,7,0.9,4.27,4729.0,Снизилась,стандарт,да,2.7,4,504,0.33,Техника для красоты и здоровья,2,4,2,4
103,215383,предыдущий_месяц,7,0.9,4.27,5560.0,Снизилась,стандарт,да,2.7,4,504,0.33,Техника для красоты и здоровья,2,4,2,4
104,215383,текущий_месяц,10,0.9,4.27,5989.0,Снизилась,стандарт,да,2.7,4,504,0.33,Техника для красоты и здоровья,2,4,2,4
105,215384,текущий_месяц,12,0.97,4.78,4010.4,Снизилась,стандарт,да,4.0,4,1020,0.34,Косметика и аксессуары,2,3,8,3
106,215384,предыдущий_месяц,11,0.97,4.78,3584.0,Снизилась,стандарт,да,4.0,4,1020,0.34,Косметика и аксессуары,2,3,8,3
107,215384,предыдущий_месяц,11,0.97,4.78,4226.0,Снизилась,стандарт,да,4.0,4,1020,0.34,Косметика и аксессуары,2,3,8,3
108,215385,текущий_месяц,8,0.9,4.85,6627.8,Снизилась,стандарт,да,3.6,4,721,0.24,Домашний текстиль,5,3,4,4
109,215385,предыдущий_месяц,10,0.9,4.85,4707.0,Снизилась,стандарт,да,3.6,4,721,0.24,Домашний текстиль,5,3,4,4
110,215385,предыдущий_месяц,10,0.9,4.85,6184.5,Снизилась,стандарт,да,3.6,4,721,0.24,Домашний текстиль,5,3,4,4
111,215386,предыдущий_месяц,14,0.9,4.05,4751.0,Снизилась,стандарт,да,1.5,3,495,0.98,Домашний текстиль,2,3,7,5
112,215386,предыдущий_месяц,14,0.9,4.05,3146.0,Снизилась,стандарт,да,1.5,3,495,0.98,Домашний текстиль,2,3,7,5
113,215386,текущий_месяц,8,0.9,4.05,4478.5,Снизилась,стандарт,да,1.5,3,495,0.98,Домашний текстиль,2,3,7,5
114,215387,текущий_месяц,5,0.62,3.48,5658.4,Снизилась,стандарт,да,4.6,3,135,0.32,Косметика и аксессуары,5,0,3,4
115,215387,предыдущий_месяц,7,0.62,3.48,4607.0,Снизилась,стандарт,да,4.6,3,135,0.32,Косметика и аксессуары,5,0,3,4
116,215387,предыдущий_месяц,7,0.62,3.48,5414.0,Снизилась,стандарт,да,4.6,3,135,0.32,Косметика и аксессуары,5,0,3,4
117,215388,предыдущий_месяц,10,0.97,5.16,4182.0,Снизилась,стандарт,да,3.5,4,663,0.99,Домашний текстиль,4,2,2,2
118,215388,предыдущий_месяц,10,0.97,5.16,3188.0,Снизилась,стандарт,да,3.5,4,663,0.99,Домашний текстиль,4,2,2,2
119,215388,текущий_месяц,12,0.97,5.16,3232.2,Снизилась,стандарт,да,3.5,4,663,0.99,Домашний текстиль,4,2,2,2
120,215389,текущий_месяц,7,1.0,4.6,4429.1,Снизилась,премиум,да,4.1,3,1047,0.93,Товары для детей,5,2,3,7
121,215389,предыдущий_месяц,7,1.0,4.6,4550.0,Снизилась,премиум,да,4.1,3,1047,0.93,Товары для детей,5,2,3,7
122,215389,предыдущий_месяц,7,1.0,4.6,4484.0,Снизилась,премиум,да,4.1,3,1047,0.93,Товары для детей,5,2,3,7
123,215390,текущий_месяц,12,0.97,5.7,4612.8,Снизилась,стандарт,да,3.1,4,152,0.33,Косметика и аксессуары,6,4,2,5
124,215390,предыдущий_месяц,8,0.97,5.7,4254.0,Снизилась,стандарт,да,3.1,4,152,0.33,Косметика и аксессуары,6,4,2,5
125,215390,предыдущий_месяц,8,0.97,5.7,4549.0,Снизилась,стандарт,да,3.1,4,152,0.33,Косметика и аксессуары,6,4,2,5
126,215391,текущий_месяц,11,1.0,5.44,5824.5,Снизилась,премиум,да,3.5,3,754,0.3,Косметика и аксессуары,3,1,2,1
127,215391,предыдущий_месяц,10,1.0,5.44,5928.5,Снизилась,премиум,да,3.5,3,754,0.3,Косметика и аксессуары,3,1,2,1
128,215391,предыдущий_месяц,10,1.0,5.44,4556.0,Снизилась,премиум,да,3.5,3,754,0.3,Косметика и аксессуары,3,1,2,1
129,215392,текущий_месяц,7,1.0,4.1,5234.4,Снизилась,премиум,да,3.9,3,525,0.28,Кухонная посуда,5,0,4,4
130,215392,предыдущий_месяц,7,1.0,4.1,4341.0,Снизилась,премиум,да,3.9,3,525,0.28,Кухонная посуда,5,0,4,4
131,215392,предыдущий_месяц,7,1.0,4.1,4548.0,Снизилась,премиум,да,3.9,3,525,0.28,Кухонная посуда,5,0,4,4
132,215393,текущий_месяц,11,0.62,2.93,5345.5,Снизилась,стандарт,нет,4.6,4,169,0.93,Техника для красоты и здоровья,2,1,3,7
133,215393,предыдущий_месяц,12,0.62,2.93,5267.5,Снизилась,стандарт,нет,4.6,4,169,0.93,Техника для красоты и здоровья,2,1,3,7
134,215393,предыдущий_месяц,12,0.62,2.93,4909.0,Снизилась,стандарт,нет,4.6,4,169,0.93,Техника для красоты и здоровья,2,1,3,7
135,215394,текущий_месяц,7,0.9,3.9,5651.4,Снизилась,стандарт,да,3.0,5,966,0.3,Товары для детей,3,1,2,4
136,215394,предыдущий_месяц,8,0.9,3.9,5420.0,Снизилась,стандарт,да,3.0,5,966,0.3,Товары для детей,3,1,2,4
137,215394,предыдущий_месяц,8,0.9,3.9,4952.0,Снизилась,стандарт,да,3.0,5,966,0.3,Товары для детей,3,1,2,4
138,215395,текущий_месяц,9,1.0,3.28,5677.1,Снизилась,премиум,да,1.5,5,645,0.27,Товары для детей,3,3,6,5
139,215395,предыдущий_месяц,9,1.0,3.28,4972.0,Снизилась,премиум,да,1.5,5,645,0.27,Товары для детей,3,3,6,5
140,215395,предыдущий_месяц,9,1.0,3.28,5297.5,Снизилась,премиум,да,1.5,5,645,0.27,Товары для детей,3,3,6,5
141,215396,текущий_месяц,6,0.9,5.09,6830.2,Снизилась,стандарт,да,3.4,5,706,0.22,Домашний текстиль,2,3,8,4
142,215396,предыдущий_месяц,12,0.9,5.09,4805.0,Снизилась,стандарт,да,3.4,5,706,0.22,Домашний текстиль,2,3,8,4
143,215396,предыдущий_месяц,12,0.9,5.09,5876.0,Снизилась,стандарт,да,3.4,5,706,0.22,Домашний текстиль,2,3,8,4
144,215397,предыдущий_месяц,6,0.62,3.19,4430.0,Снизилась,стандарт,да,4.2,3,689,0.31,Домашний текстиль,4,2,2,3
145,215397,предыдущий_месяц,6,0.62,3.19,4541.0,Снизилась,стандарт,да,4.2,3,689,0.31,Домашний текстиль,4,2,2,3
146,215397,текущий_месяц,8,0.62,3.19,5040.2,Снизилась,стандарт,да,4.2,3,689,0.31,Домашний текстиль,4,2,2,3
147,215398,предыдущий_месяц,5,1.0,4.77,4557.0,Снизилась,премиум,да,3.5,5,882,0.22,Мелкая бытовая техника и электроника,3,2,6,3
148,215398,предыдущий_месяц,5,1.0,4.77,5530.5,Снизилась,премиум,да,3.5,5,882,0.22,Мелкая бытовая техника и электроника,3,2,6,3
149,215398,текущий_месяц,6,1.0,4.77,5854.2,Снизилась,премиум,да,3.5,5,882,0.22,Мелкая бытовая техника и электроника,3,2,6,3
150,215399,предыдущий_месяц,13,1.0,5.01,4529.0,Снизилась,премиум,да,4.1,4,1007,0.3,Товары для детей,4,5,3,6
151,215399,предыдущий_месяц,13,1.0,5.01,3857.0,Снизилась,премиум,да,4.1,4,1007,0.3,Товары для детей,4,5,3,6
152,215399,текущий_месяц,10,1.0,5.01,4900.9,Снизилась,премиум,да,4.1,4,1007,0.3,Товары для детей,4,5,3,6
153,215400,текущий_месяц,9,0.62,6.73,5691.4,Снизилась,стандарт,нет,4.4,5,304,0.94,Товары для детей,1,4,3,2
154,215400,предыдущий_месяц,11,0.62,6.73,4439.0,Снизилась,стандарт,нет,4.4,5,304,0.94,Товары для детей,1,4,3,2
155,215400,предыдущий_месяц,11,0.62,6.73,5681.0,Снизилась,стандарт,нет,4.4,5,304,0.94,Товары для детей,1,4,3,2
156,215401,текущий_месяц,8,1.0,7.43,6065.9,Снизилась,премиум,да,3.4,5,339,0.3,Косметика и аксессуары,2,3,3,4
157,215401,предыдущий_месяц,10,1.0,7.43,4833.0,Снизилась,премиум,да,3.4,5,339,0.3,Косметика и аксессуары,2,3,3,4
158,215401,предыдущий_месяц,10,1.0,7.43,5548.5,Снизилась,премиум,да,3.4,5,339,0.3,Косметика и аксессуары,2,3,3,4
159,215402,предыдущий_месяц,5,1.0,4.28,4702.0,Снизилась,премиум,да,3.0,5,954,0.93,Товары для детей,3,2,4,6
160,215402,предыдущий_месяц,5,1.0,4.28,4918.0,Снизилась,премиум,да,3.0,5,954,0.93,Товары для детей,3,2,4,6
161,215402,текущий_месяц,5,1.0,4.28,4940.1,Снизилась,премиум,да,3.0,5,954,0.93,Товары для детей,3,2,4,6
162,215403,предыдущий_месяц,7,1.0,3.73,4957.0,Снизилась,премиум,да,1.7,5,771,0.39,Техника для красоты и здоровья,1,8,2,5
163,215403,предыдущий_месяц,7,1.0,3.73,5824.0,Снизилась,премиум,да,1.7,5,771,0.39,Техника для красоты и здоровья,1,8,2,5
164,215403,текущий_месяц,8,1.0,3.73,6427.2,Снизилась,премиум,да,1.7,5,771,0.39,Техника для красоты и здоровья,1,8,2,5
165,215404,предыдущий_месяц,12,0.97,3.38,4449.0,Снизилась,стандарт,да,2.4,3,699,0.94,Домашний текстиль,4,1,2,3
166,215404,предыдущий_месяц,12,0.97,3.38,3788.0,Снизилась,стандарт,да,2.4,3,699,0.94,Домашний текстиль,4,1,2,3
167,215404,текущий_месяц,13,0.97,3.38,4867.0,Снизилась,стандарт,да,2.4,3,699,0.94,Домашний текстиль,4,1,2,3
168,215405,предыдущий_месяц,12,0.9,3.47,4881.0,Снизилась,стандарт,да,3.0,3,669,0.34,Кухонная посуда,4,2,5,4
169,215405,предыдущий_месяц,12,0.9,3.47,6226.5,Снизилась,стандарт,да,3.0,3,669,0.34,Кухонная посуда,4,2,5,4
170,215405,текущий_месяц,9,0.9,3.47,7104.0,Снизилась,стандарт,да,3.0,3,669,0.34,Кухонная посуда,4,2,5,4
171,215406,предыдущий_месяц,6,0.9,5.0,5715.5,Снизилась,стандарт,да,2.4,5,511,0.3,Товары для детей,3,2,4,6
172,215406,предыдущий_месяц,6,0.9,5.0,4763.0,Снизилась,стандарт,да,2.4,5,511,0.3,Товары для детей,3,2,4,6
173,215406,текущий_месяц,6,0.9,5.0,6257.6,Снизилась,стандарт,да,2.4,5,511,0.3,Товары для детей,3,2,4,6
174,215407,текущий_месяц,13,0.97,2.02,5919.3,Снизилась,премиум,да,2.4,4,974,0.35,Домашний текстиль,4,3,4,6
175,215407,предыдущий_месяц,9,0.97,2.02,5502.0,Снизилась,премиум,да,2.4,4,974,0.35,Домашний текстиль,4,3,4,6
176,215407,предыдущий_месяц,9,0.97,2.02,4884.0,Снизилась,премиум,да,2.4,4,974,0.35,Домашний текстиль,4,3,4,6
177,215408,текущий_месяц,12,0.97,3.68,5029.8,Снизилась,премиум,да,2.4,3,666,0.98,Кухонная посуда,3,5,1,2
178,215408,предыдущий_месяц,10,0.97,3.68,5295.0,Снизилась,премиум,да,2.4,3,666,0.98,Кухонная посуда,3,5,1,2
179,215408,предыдущий_месяц,10,0.97,3.68,4434.0,Снизилась,премиум,да,2.4,3,666,0.98,Кухонная посуда,3,5,1,2
180,215409,текущий_месяц,12,0.97,2.68,5538.0,Снизилась,премиум,да,1.4,4,857,0.95,Кухонная посуда,3,4,5,5
181,215409,предыдущий_месяц,6,0.97,2.68,5219.5,Снизилась,премиум,да,1.4,4,857,0.95,Кухонная посуда,3,4,5,5
182,215409,предыдущий_месяц,6,0.97,2.68,4465.0,Снизилась,премиум,да,1.4,4,857,0.95,Кухонная посуда,3,4,5,5
183,215410,текущий_месяц,4,0.9,4.46,4607.6,Снизилась,стандарт,да,3.0,3,1048,0.89,Товары для детей,4,5,3,1
184,215410,предыдущий_месяц,6,0.9,4.46,4248.0,Снизилась,стандарт,да,3.0,3,1048,0.89,Товары для детей,4,5,3,1
185,215410,предыдущий_месяц,6,0.9,4.46,4839.0,Снизилась,стандарт,да,3.0,3,1048,0.89,Товары для детей,4,5,3,1
186,215411,текущий_месяц,10,0.9,2.41,5499.0,Снизилась,стандарт,да,1.7,4,756,0.33,Товары для детей,2,3,7,4
187,215411,предыдущий_месяц,9,0.9,2.41,4609.0,Снизилась,стандарт,да,1.7,4,756,0.33,Товары для детей,2,3,7,4
188,215411,предыдущий_месяц,9,0.9,2.41,5395.0,Снизилась,стандарт,да,1.7,4,756,0.33,Товары для детей,2,3,7,4
189,215412,текущий_месяц,9,1.0,1.63,5294.1,Снизилась,премиум,да,2.9,3,506,0.9,Товары для детей,1,5,3,4
190,215412,предыдущий_месяц,10,1.0,1.63,4607.0,Снизилась,премиум,да,2.9,3,506,0.9,Товары для детей,1,5,3,4
191,215412,предыдущий_месяц,10,1.0,1.63,5499.5,Снизилась,премиум,да,2.9,3,506,0.9,Товары для детей,1,5,3,4
